r_nrm, b_nrm, p_t_prior, pdf 0 weight, pdf 1 weight, pdf 2 weight, pdf 3 weight
0.207920, 0.338030, 1.000000, 255, 255, 255, 150
0.212334, 0.342094, 0.606197, 255, 255, 255, 150
0.203506, 0.333966, 0.606197, 255, 255, 255, 150
0.217920, 0.327241, 1.000000, 255, 255, 255, 150
0.222307, 0.331335, 0.923110, 255, 255, 255, 150
0.226693, 0.335429, 0.726130, 255, 255, 255, 150
0.231080, 0.339522, 0.486724, 255, 255, 255, 150
0.235466, 0.343616, 0.278008, 255, 255, 255, 150
0.213534, 0.323147, 0.923110, 255, 255, 255, 150
0.209147, 0.319054, 0.726130, 255, 255, 255, 150
0.204761, 0.314960, 0.486724, 255, 255, 255, 150
0.200374, 0.310866, 0.278008, 255, 255, 255, 150
0.227920, 0.316599, 1.000000, 255, 255, 255, 150
0.232278, 0.320723, 0.923110, 255, 255, 255, 150
0.236637, 0.324847, 0.726130, 255, 255, 255, 150
0.240995, 0.328971, 0.486724, 255, 255, 255, 150
0.245353, 0.333095, 0.278008, 255, 255, 255, 150
0.223562, 0.312476, 0.923110, 255, 255, 255, 150
0.219204, 0.308352, 0.726130, 255, 255, 255, 150
0.214846, 0.304228, 0.486724, 255, 255, 255, 150
0.210487, 0.300104, 0.278008, 255, 255, 255, 150
0.237920, 0.306105, 1.000000, 255, 255, 255, 150
0.242249, 0.310259, 0.923110, 255, 255, 255, 150
0.246579, 0.314413, 0.726130, 255, 255, 255, 150
0.250908, 0.318568, 0.486724, 255, 255, 255, 150
0.255237, 0.322722, 0.278008, 255, 255, 255, 150
0.233591, 0.301951, 0.923110, 255, 255, 255, 150
0.229262, 0.297796, 0.726130, 255, 255, 255, 150
0.224933, 0.293642, 0.486724, 255, 255, 255, 150
0.220603, 0.289488, 0.278008, 255, 255, 255, 150
0.247920, 0.295757, 1.000000, 255, 255, 255, 150
0.252220, 0.299942, 0.923110, 255, 255, 255, 150
0.256519, 0.304127, 0.726130, 255, 255, 255, 150
0.260819, 0.308312, 0.486724, 255, 255, 255, 150
0.265118, 0.312497, 0.278008, 255, 255, 255, 150
0.243621, 0.291572, 0.923110, 255, 255, 255, 150
0.239321, 0.287388, 0.726130, 255, 255, 255, 150
0.235022, 0.283203, 0.486724, 255, 255, 255, 150
0.230722, 0.279018, 0.278008, 255, 255, 255, 150
0.257920, 0.285557, 1.000000, 255, 255, 255, 150
0.262189, 0.289773, 0.923110, 255, 255, 255, 150
0.266459, 0.293989, 0.726130, 255, 255, 255, 150
0.270728, 0.298205, 0.486724, 255, 255, 255, 150
0.274997, 0.302421, 0.278008, 255, 255, 255, 150
0.253651, 0.281341, 0.923110, 255, 255, 255, 150
0.249382, 0.277126, 0.726130, 255, 255, 255, 150
0.245112, 0.272910, 0.486724, 255, 255, 255, 150
0.240843, 0.268694, 0.278008, 255, 255, 255, 150
0.267920, 0.275504, 1.000000, 255, 255, 255, 150
0.272158, 0.279751, 0.923110, 255, 255, 255, 150
0.276397, 0.283998, 0.726130, 255, 255, 255, 150
0.280635, 0.288245, 0.486724, 255, 255, 255, 150
