r_nrm, b_nrm, p_t_prior, pdf 0 weight, pdf 1 weight, pdf 2 weight, pdf 3 weight
0.200027, 0.349092, 1.000000, 255, 255, 255, 150
0.202737, 0.351307, 0.958312, 255, 255, 255, 150
0.205446, 0.353523, 0.843390, 255, 255, 255, 150
0.208156, 0.355738, 0.681654, 255, 255, 255, 150
0.210865, 0.357954, 0.505957, 255, 255, 255, 150
0.213575, 0.360169, 0.344887, 255, 255, 255, 150
0.216285, 0.362385, 0.215901, 255, 255, 255, 150
0.197318, 0.346877, 0.958312, 255, 255, 255, 150
0.194608, 0.344661, 0.843390, 255, 255, 255, 150
0.191898, 0.342446, 0.681654, 255, 255, 255, 150
0.189189, 0.340230, 0.505957, 255, 255, 255, 150
0.186479, 0.338015, 0.344887, 255, 255, 255, 150
0.183770, 0.335799, 0.215901, 255, 255, 255, 150
0.205027, 0.342977, 1.000000, 255, 255, 255, 150
0.207737, 0.345192, 0.958312, 255, 255, 255, 150
0.210446, 0.347408, 0.843390, 255, 255, 255, 150
0.213156, 0.349623, 0.681654, 255, 255, 255, 150
0.215865, 0.351838, 0.505957, 255, 255, 255, 150
0.218575, 0.354054, 0.344887, 255, 255, 255, 150
0.221285, 0.356269, 0.215901, 255, 255, 255, 150
0.202318, 0.340761, 0.958312, 255, 255, 255, 150
0.199608, 0.338546, 0.843390, 255, 255, 255, 150
0.196898, 0.336330, 0.681654, 255, 255, 255, 150
0.194189, 0.334115, 0.505957, 255, 255, 255, 150
0.191479, 0.331900, 0.344887, 255, 255, 255, 150
0.188770, 0.329684, 0.215901, 255, 255, 255, 150
0.210027, 0.336861, 1.000000, 255, 255, 255, 150
0.212737, 0.339077, 0.958312, 255, 255, 255, 150
0.215446, 0.341292, 0.843390, 255, 255, 255, 150
0.218156, 0.343508, 0.681654, 255, 255, 255, 150
0.220865, 0.345723, 0.505957, 255, 255, 255, 150
0.223575, 0.347939, 0.344887, 255, 255, 255, 150
0.226285, 0.350154, 0.215901, 255, 255, 255, 150
0.207318, 0.334646, 0.958312, 255, 255, 255, 150
0.204608, 0.332431, 0.843390, 255, 255, 255, 150
0.201898, 0.330215, 0.681654, 255, 255, 255, 150
0.199189, 0.328000, 0.505957, 255, 255, 255, 150
0.196479, 0.325784, 0.344887, 255, 255, 255, 150
0.193770, 0.323569, 0.215901, 255, 255, 255, 150
0.215027, 0.330746, 1.000000, 255, 255, 255, 150
0.217737, 0.332962, 0.958312, 255, 255, 255, 150
0.220446, 0.335177, 0.843390, 255, 255, 255, 150
0.223156, 0.337393, 0.681654, 255, 255, 255, 150
0.225865, 0.339608, 0.505957, 255, 255, 255, 150
0.228575, 0.341823, 0.344887, 255, 255, 255, 150
0.231285, 0.344039, 0.215901, 255, 255, 255, 150
0.212317, 0.328531, 0.958312, 255, 255, 255, 150
0.209608, 0.326315, 0.843390, 255, 255, 255, 150
0.206898, 0.324100, 0.681654, 255, 255, 255, 150
0.204189, 0.321884, 0.505957, 255, 255, 255, 150
0.201479, 0.319669, 0.344887, 255, 255, 255, 150
0.198770, 0.317454, 0.215901, 255, 255, 255, 150
0.220027, 0.324631, 1.000000, 255, 255, 255, 150
0.222737, 0.326846, 0.958312, 255, 255, 255, 150
0.225446, 0.329062, 0.843390, 255, 255, 255, 150
0.228156, 0.331277, 0.681654, 255, 255, 255, 150
0.230865, 0.333493, 0.505957, 255, 255, 255, 150
0.233575, 0.335708, 0.344887, 255, 255, 255, 150
0.236285, 0.337924, 0.215901, 255, 255, 255, 150
0.217317, 0.322416, 0.958312, 255, 255, 255, 150
0.214608, 0.320200, 0.843390, 255, 255, 255, 150
0.211898, 0.317985, 0.681654, 255, 255, 255, 150
0.209189, 0.315769, 0.505957, 255, 255, 255, 150
0.206479, 0.313554, 0.344887, 255, 255, 255, 150
0.203770, 0.311338, 0.215901, 255, 255, 255, 150
0.225027, 0.318516, 1.000000, 255, 255, 255, 150
0.227737, 0.320731, 0.958312, 255, 255, 255, 150
0.230446, 0.322947, 0.843390, 255, 255, 255, 150
0.233156, 0.325162, 0.681654, 255, 255, 255, 150
0.235865, 0.327377, 0.505957, 255, 255, 255, 150
0.238575, 0.329593, 0.344887, 255, 255, 255, 150
0.241285, 0.331808, 0.215901, 255, 255, 255, 150
0.222317, 0.316300, 0.958312, 255, 255, 255, 150
0.219608, 0.314085, 0.843390, 255, 255, 255, 150
0.216898, 0.311869, 0.681654, 255, 255, 255, 150
0.214189, 0.309654, 0.505957, 255, 255, 255, 150
0.211479, 0.307439, 0.344887, 255, 255, 255, 150
0.208770, 0.305223, 0.215901, 255, 255, 255, 150
0.230027, 0.312400, 1.000000, 255, 255, 255, 150
0.232737, 0.314616, 0.958312, 255, 255, 255, 150
0.235446, 0.316831, 0.843390, 255, 255, 255, 150
0.238156, 0.319047, 0.681654, 255, 255, 255, 150
0.240865, 0.321262, 0.505957, 255, 255, 255, 150
0.243575, 0.323478, 0.344887, 255, 255, 255, 150
0.246285, 0.325693, 0.215901, 255, 255, 255, 150
0.227317, 0.310185, 0.958312, 255, 255, 255, 150
0.224608, 0.307970, 0.843390, 255, 255, 255, 150
0.221898, 0.305754, 0.681654, 255, 255, 255, 150
0.219189, 0.303539, 0.505957, 255, 255, 255, 150
0.216479, 0.301323, 0.344887, 255, 255, 255, 150
0.213770, 0.299108, 0.215901, 255, 255, 255, 150
0.235027, 0.306285, 1.000000, 255, 255, 255, 150
0.237737, 0.308501, 0.958312, 255, 255, 255, 150
0.240446, 0.310716, 0.843390, 255, 255, 255, 150
0.243156, 0.312932, 0.681654, 255, 255, 255, 150
0.245865, 0.315147, 0.505957, 255, 255, 255, 150
0.248575, 0.317362, 0.344887, 255, 255, 255, 150
0.251285, 0.319578, 0.215901, 255, 255, 255, 150
0.232317, 0.304070, 0.958312, 255, 255, 255, 150
0.229608, 0.301854, 0.843390, 255, 255, 255, 150
0.226898, 0.299639, 0.681654, 255, 255, 255, 150
0.224189, 0.297424, 0.505957, 255, 255, 255, 150
0.221479, 0.295208, 0.344887, 255, 255, 255, 150
0.218770, 0.292993, 0.215901, 255, 255, 255, 150
0.240027, 0.300170, 1.000000, 255, 255, 255, 150
0.242737, 0.302385, 0.958312, 255, 255, 255, 150
0.245446, 0.304601, 0.843390, 255, 255, 255, 150
0.248156, 0.306816, 0.681654, 255, 255, 255, 150
0.250865, 0.309032, 0.505957, 255, 255, 255, 150
0.253575, 0.311247, 0.344887, 255, 255, 255, 150
0.256285, 0.313463, 0.215901, 255, 255, 255, 150
0.237317, 0.297955, 0.958312, 255, 255, 255, 150
0.234608, 0.295739, 0.843390, 255, 255, 255, 150
0.231898, 0.293524, 0.681654, 255, 255, 255, 150
0.229189, 0.291308, 0.505957, 255, 255, 255, 150
0.226479, 0.289093, 0.344887, 255, 255, 255, 150
0.223770, 0.286877, 0.215901, 255, 255, 255, 150
0.245027, 0.294055, 1.000000, 255, 255, 255, 150
0.247737, 0.296270, 0.958312, 255, 255, 255, 150
0.250446, 0.298486, 0.843390, 255, 255, 255, 150
0.253156, 0.300701, 0.681654, 255, 255, 255, 150
0.255865, 0.302916, 0.505957, 255, 255, 255, 150
0.258575, 0.305132, 0.344887, 255, 255, 255, 150
0.261285, 0.307347, 0.215901, 255, 255, 255, 150
0.242317, 0.291839, 0.958312, 255, 255, 255, 150
0.239608, 0.289624, 0.843390, 255, 255, 255, 150
0.236898, 0.287408, 0.681654, 255, 255, 255, 150
0.234189, 0.285193, 0.505957, 255, 255, 255, 150
0.231479, 0.282978, 0.344887, 255, 255, 255, 150
0.228770, 0.280762, 0.215901, 255, 255, 255, 150
0.250027, 0.287939, 1.000000, 255, 255, 255, 150
0.252737, 0.290155, 0.958312, 255, 255, 255, 150
0.255446, 0.292370, 0.843390, 255, 255, 255, 150
0.258156, 0.294586, 0.681654, 255, 255, 255, 150
0.260865, 0.296801, 0.505957, 255, 255, 255, 150
0.263575, 0.299017, 0.344887, 255, 255, 255, 150
0.266285, 0.301232, 0.215901, 255, 255, 255, 150
0.247317, 0.285724, 0.958312, 255, 255, 255, 150
0.244608, 0.283509, 0.843390, 255, 255, 255, 150
0.241898, 0.281293, 0.681654, 255, 255, 255, 150
0.239189, 0.279078, 0.505957, 255, 255, 255, 150
0.236479, 0.276862, 0.344887, 255, 255, 255, 150
0.233770, 0.274647, 0.215901, 255, 255, 255, 150
0.255027, 0.281824, 1.000000, 255, 255, 255, 150
0.257737, 0.284040, 0.958312, 255, 255, 255, 150
0.260446, 0.286255, 0.843390, 255, 255, 255, 150
0.263156, 0.288471, 0.681654, 255, 255, 255, 150
0.265865, 0.290686, 0.505957, 255, 255, 255, 150
0.268575, 0.292901, 0.344887, 255, 255, 255, 150
0.271285, 0.295117, 0.215901, 255, 255, 255, 150
0.252317, 0.279609, 0.958312, 255, 255, 255, 150
0.249608, 0.277393, 0.843390, 255, 255, 255, 150
0.246898, 0.275178, 0.681654, 255, 255, 255, 150
0.244189, 0.272963, 0.505957, 255, 255, 255, 150
0.241479, 0.270747, 0.344887, 255, 255, 255, 150
0.238770, 0.268532, 0.215901, 255, 255, 255, 150
0.260027, 0.275709, 1.000000, 255, 255, 255, 150
0.262737, 0.277924, 0.958312, 255, 255, 255, 150
0.265446, 0.280140, 0.843390, 255, 255, 255, 150
0.268156, 0.282355, 0.681654, 255, 255, 255, 150
0.270865, 0.284571, 0.505957, 255, 255, 255, 150
0.273575, 0.286786, 0.344887, 255, 255, 255, 150
0.276285, 0.289002, 0.215901, 255, 255, 255, 150
0.257317, 0.273494, 0.958312, 255, 255, 255, 150
0.254608, 0.271278, 0.843390, 255, 255, 255, 150
0.251898, 0.269063, 0.681654, 255, 255, 255, 150
0.249189, 0.266847, 0.505957, 255, 255, 255, 150
0.246479, 0.264632, 0.344887, 255, 255, 255, 150
0.243770, 0.262416, 0.215901, 255, 255, 255, 150
0.265027, 0.269594, 1.000000, 255, 255, 255, 150
0.267737, 0.271809, 0.958312, 255, 255, 255, 150
0.270446, 0.274025, 0.843390, 255, 255, 255, 150
0.273156, 0.276240, 0.681654, 255, 255, 255, 150
0.275865, 0.278455, 0.505957, 255, 255, 255, 150
0.278575, 0.280671, 0.344887, 255, 255, 255, 150
0.281285, 0.282886, 0.215901, 255, 255, 255, 150
0.262317, 0.267378, 0.958312, 255, 255, 255, 150
0.259608, 0.265163, 0.843390, 255, 255, 255, 150
0.256898, 0.262947, 0.681654, 255, 255, 255, 150
0.254189, 0.260732, 0.505957, 255, 255, 255, 150
0.251479, 0.258517, 0.344887, 255, 255, 255, 150
0.248770, 0.256301, 0.215901, 255, 255, 255, 150
0.270027, 0.263479, 1.000000, 255, 255, 255, 150
0.272737, 0.265694, 0.958312, 255, 255, 255, 150
0.275446, 0.267909, 0.843390, 255, 255, 255, 150
0.278156, 0.270125, 0.681654, 255, 255, 255, 150
0.280865, 0.272340, 0.505957, 255, 255, 255, 150
0.283575, 0.274556, 0.344887, 255, 255, 255, 150
0.286285, 0.276771, 0.215901, 255, 255, 255, 150
0.267317, 0.261263, 0.958312, 255, 255, 255, 150
0.264608, 0.259048, 0.843390, 255, 255, 255, 150
0.261898, 0.256832, 0.681654, 255, 255, 255, 150
0.259189, 0.254617, 0.505957, 255, 255, 255, 150
0.256479, 0.252401, 0.344887, 255, 255, 255, 150
0.253770, 0.250186, 0.215901, 255, 255, 255, 150
0.275027, 0.257363, 1.000000, 255, 255, 255, 150
0.277737, 0.259579, 0.958312, 255, 255, 255, 150
0.280446, 0.261794, 0.843390, 255, 255, 255, 150
